id,name (LP이름),image,category,수록일자,국가,위치,가수,side1,side2,,,,,memo,비고,,,,,,,,,,,,
,"KIMERA and THE OPERAIDERS with
THE LONDON SYMPHONY ORCHESTRA",,수입/클래식,1985,,,"KIMERA and THE OPERAIDERS with
THE LONDON SYMPHONY ORCHESTRA",,,,,,,,,,,,,,,,,,,,
,5 특선 한국가곡,,국내/가요,,대한민국,,,"1.사 랑
(이은상 작사/홍난파 작곡/형진미 노래)
, 그대 있음에
(김남조 작사/김순애 작곡/김학남 노래)
으타소 수사/
3. 동무 생각
(이은상 작사/박태준 작곡/임정근 노래)
4. 산
(허윤석 작사/조두남 작곡/배행숙 노래)
5. 고향 그리워
(만 향 작사/이흥렬 작곡/박인수 노래)

6.

진달래꽃
(김소월 작사/김동진 작곡/김신자 노래)
7
금강에 살을리랏다
(이은상 작사/홍난파 작곡/이영구 노래)
8. 한 강
(정공채 작사/변 훈 작곡/김성길 노래)","1. 청산에 살리라
(김연준 작사/김연준 작곡/박인수 노래)
2.추 억
(조병화 작사/김성태 작곡/백남옥 노래)
3. 야상곡
(정원섭 작사/김봉천 작곡/박찬동 노래)

4.
봄처녀
(이은상 작사/홍난파 작곡/김성길 노래)
5. 코스모스를 노래함
(이기순 작사/이흥렬 작곡/곽신형 노래)
. 산 길
(양주동 작사/박태준 작곡/윤치호 노래)
. 강이 풀리면
(김동환 작사/오동일 작곡/김진수 노래)
8. 국화 옆에서
(서정주 작사/이호섭 작곡/김태현 노래)",,,,,,,,,,,,,,,,,,
,최영섭 가곡선집,,국내/가요,1986,대한민국,,최영섭,"1. 그라운 금강산

.. 5' 25""
(한상억 작시 · Soprano 송광선/8608-5542)

(김영랑 시 · Soprano 김영자/ 8612-9967)

2. 그리워라 두고 온 그 사람들 ··

.· 4' 55""
(한상억 작시 · Soprano 정은숙/8610-7958)

(조병화 시 · Soprano 송광선/8611-9494)

3. 망 향…

4' 32

3. 사랑의 날개·

(고운산 작시 · Tenor 김화용/8610-8107)

(조병화 시 · Soprano 송광선/8610-7924)

4. 고요한 아침의 나라

5' 37""

4. 길

(한상억 작시 · Tenor 신영조/8612-9965)
5. 남산에 올라

….. 4' 24""
(한상억 작시 · Mezzo Soprano 강화자/8611-9459)

(조지훈 시 · Soprano 김영자/8611-9469)

6. 낙동강 구비친 곳

..... 4' 20""
(한상억 작시 · Baritone 김성길/ 8612-9966)","1. 모란이 피기까지는

· 6' 15""

(한상억 작시 · Soprano 송광선/8608-5542)

(김영랑 시 · Soprano 김영자/ 8612-9967)
2. 추 억 .…….

-4' 02

(한상억 작시 · Soprano 정은숙/8610-7958)

(조병화 시 · Soprano 송광선/8611-9494)
3. 사랑의 날개·

(고운산 작시 · Tenor 김화용/8610-8107)

(조병화 시 · Soprano 송광선/8610-7924)
4. 길

(한상억 작시 · Tenor 신영조/8612-9965)

(조병화 시 · Tenor 김진원/8611-9485)
·4' 04

5. 마 을 ·

.. 3'45""

(한상억 작시 · Mezzo Soprano 강화자/8611-9459)

(조지훈 시 · Soprano 김영자/8611-9469)
6. 외줄기 산길·

1' 47

(한상억 작시 · Baritone 김성길/ 8612-9966)

(고운산 시 · Tenor 신영조/8612-9964)
7. 그라운 옛봄

.. 3' 47""
(고운산 작시 · Mezzo Soprano 백남옥/8611-9463)",,,,,,,,,,,,,,,,,,
,조수미 향수,,국내/클래식,,대한민국,,조수미,"고향
꽃 구름 속에
아리아리랑
첫 치마
수선화","그리운 금강산
울산 아가씨
봉숭아
강 건너 봄이 오듯
청산에 살리라",,,,,,,,,,,,,,,,,,
,"MOZART

Piano Works 1
KUN-WOO PAIK",,국내/클래식,2024,,,백건우,"1 Fantasia in D minor, K. 397
2
Rondo in D major, K. 485","Piano Sonata No. 12 in F major, K. 332
] I. Allegro
2 Il. Adagio
3 IIl. Allegro assai","Adagio in B minor, K. 540
Gigue in G major, K. 574","Piano Sonata No. 16 in C major, K. 545 ""Sonata facile""
1 l. Allegro
2 |l. Andante
III. Rondo. Allegretto
Prelude & Fugue in C major, K. 394
A. Prelude
5|| Fugue",,,,,,,,,,,,,,,,
,백건우,,국내/클래식,,,,,,,,,,,,,,,,,,,,,,,,
,"KIMERA and THE OPERAIDERS with
THE LONDON SYMPHONY ORCHESTRA",,국내/클래식,2023,,,임동혁,"Variations brillantes in B flat major on
'Je vends des scapulaires' from Hérold's Ludovic, Op. 12
Introduction: Allegro maestoso
I Thème: Allegro moderato
III Scherzo -
IV Lento -
V Scherzo vivace","24 Preludes, Op. 28
No. 1 in C major: Agitato
No. 2 in A minor: Lento
No. 3 in G major: Vivace
No. 4 in E minor: Largo
No. 5 in D major: Allegro molto
No. 6 in B minor: Lento assai
No. 7 in A major: Andantino
No. 8 in F-sharp minor: Molto agitato
No. 9 in E major: Largo
No. 10 in C-sharp minor: Allegro molto
No. 11 in B major: Vivace
No. 12 in G-sharp minor: Presto
No. 13 in F-sharp major: Lento
No. 14 in E-flat minor: Allegro","No. 15 in D-flat major: Sostenuto
No. 16 in B-flat minor: Presto con fuoco
No. 17 in A-flat major: Allegretto
No. 18 in F minor: Allegro molto
No. 19 in E-flat major: Vivace
No. 20 in C minor: Largo
No. 21 in B-flat major: Cantabile
No. 22 in G minor: Molto agitato
No. 23 in F major: Moderato
No. 24 in D minor: Allegro appassionato","Berceuse in D-flat major, Op. 57
Barcarolle in F-sharp major, Op. 60",,,,,,,,,,,,,,,,
,"THE ROAD OF CLASSICS
BYEONG-MIN GIL",,국내/클래식,2023,대한민국,,길병민,"WEBER | Schweig, damit dich niemand warnt
베버 | 아무도 너에게 경고하지 않도록 조용히 하라
2 ROSSINI | La calunnia è un venticello
로시니 | 소문은 산들바람처럼
3 BIZET | Quand la flamme de l'amour
비제 | 사랑의 불꽃이 타오를 때
4 BIZET | Votre toast, je peux vous le rendre (The Toreador Song)
비제 | 여러분의 건배에 삼가 잔을 돌려 드리겠소(투우사의 노래)
5 RACHMANINOFF | Aleko's Cavatina
라흐마니노프 | 알레코의 카바티나","1 BIXIO | Parlami d'amore Mariù
빅시오 | 사랑한다 말해주오, 마리우
[2 LARA | Granada
라라 | 그라나다
3 TOSTI | Non t'amo più
토스티 | 더 이상 사랑하지 않으리
4 SCHUBERT | Erlkönig D.328
슈베르트 | 마왕
5 OSHIMA | Kazabue
오시마 | 바람이 머무는 날",,,,,,,,,,,,,,,,,,
,"Yunchan Lim
Live from the Cliburn
Liszt: Transcendental Etudes",,국내/클래식,2023,독일,,임윤찬,"1.
1. Preludio 0:59
2.
Il. Molto vivace 2:24
3. III. Paysage 5:13
4.
IV. Mazeppa 7:36","1. V. Feux follets 3:28
2. VI. Vision 5:25
3. VII. Eroica 4:40
4. VIII. Wilde Jagd 4:46","1. IX. Ricordanza 11:24
2,
X. Allegro agitato molto 4:17","1. XI. Harmonies du Soir 9:08
2. XII. Chasse-neige 5:26",,,,,,,,,,,,,,,,
,"Yunchan
Lim
Chopin
Etudes",,국내/클래식,2024,,,임윤찬,"Études Op.10
No.1 in C
No.2 in A minor
No.3 in E
No.4 in C sharp minor
No.5 in G flat
No.6 in E flat minor
No.7 in C
No.8 in F
No.9 in F minor
No.10 in A flat
No.11 in E flat
No.12 in C minor","Études Op.25
No.1 in A flat
No.2 in F minor
No.3 in F
No.4 in A minor
No.5 in E minor
No.6 in G sharp minor
No.7 in C sharp minor
No.8 in D flat
No.9 in G flat
No.10 in B minor
No.11 in A minor
No.12 in C minor",,,,,,,,,,,,,,,,,,
,"YUNCHAN LIM
GWANGJU SYMPHONY ORCHESTRA
SEOKWON HONG",,국내/클래식,2023,독일,,임윤찬,"LUDWIG VAN BEETHOVEN 1770-1827
Concerto for Piano and Orchestra
No. 5 in E flat major ""Emperor"" op. 73
A1|. Allegr
B 1 ||. Adagio un poco moto - attacca
B 2 |||. Rondo. Allegro","ISANG YUN 1917-1995
A1 Exemplum
in memoriam Kwangju (1981)
SAMUEL BARBER 1910-1981
B 1 Adagio for Strings
Encore
FEDERICO MOMPOU 1893-1987
B 2 Jeunes filles au jardin
No. 5 from Scènes d'enfants
Calme
ALEXANDER SCRIABIN 1872-1915
B 3 Poème op. 69/1
Allegretto
B4
Feuillet d'album op. 45/
Andante piacevole",,,,,,,,,,,,,,,,,,
,"Han-Na Chang
Philharmonia Orchestra
Leonard Slatkin",,국내/클래식,2023,독일,,장한나,"GABRIEL FAURÉ 1848-1924

Après un reve . Sicilienne

ALEXANDER GLAZUNOV 1865-1936

Chant du ménestrel
SERGEI RACHMANINOV 1873-1943
Vocalise

PYOTR ILYICH TCHAIKOVSKY 1840-1893

Nocturnes","CAMILLE SAINT-SAENS |835-1921

Le Cygne*

ANTONIN DVORAK 1841-1904

YUN JOON KIM 1916-2008 . ROXANNA PANUFNIK 1968-
Korean Elegy

HAN-NA CHANG, 2000

MAX BRUCH 1838-1920
Ave Maria",,,,,,,,,,,,,,,,,,
,"SEONG-JIN CHO // YANNICK NÉZET-SÉGUIN
Chamber Orchestra of Europe
MOZART",,국내/클래식,2018,EU,,조성진,"PIANO CONCERTO NO. 20 IN D MINOR K 466
d-Moll
1I. Allegro (Cadenza by Beethoven, WoO 58,1)","2. Romance

8:59

2 3. Allegro assai (Cadenza by Beethoven, WoO 58,2)

7:50

Chamber Orchestra of Europe
YANNICK NÉZET-SÉGUIN","PIANO SONATA NO. 12 IN F MAJOR K 332 (300k)
F-Dur
I. Allegro

7:02

2 2. Adagio

5:05

B 3. Allegro assai","PIANO SONATA NO. 3 IN B FLAT MAJOR K 281 (189f)
B-Dur
1 1. Allegro

4:27

2 2. Andante amoroso

4:45

3 3. Rondo. Allegro

4:31

4 FANTASIA IN D MINOR K 397 (385g)

5:36

d-Moll",,,,,,,,,,,,,,,,
,"Chopin: Piano Concerto No. 2 · Scherzi

SEONG-JIN CHO

London Symphony Orchestra · Gianandrea Noseda",,국내/클래식,2021,EU,,조성진,"Scherzo No. 1 in B minor op. 20 |h-Moll: Presto con fuoco

8:53

Scherzo No. 2 in B flat minor op. 31 | b-Moll: Presto","Scherzo No. 3 in C sharp minor op. 39 | cis-Moll: Presto con fuoco 7:20
Scherzo No. 4 in E major op. 54 | E-Dur: Presto",1. Maestoso,"2. Larghetto

8:50

3. Allegro vivace",,,,,,,,,,,,,,,,
,"SEONG-JIN CHO

THE HANDEL PROJECT

Handel: 3 Suites . Brahms: Handel Variations",,국내/클래식,2023,EU,,조성진,"1-[4 Suite No. 2 in F major
HWV 427
5-9 Suite No. 8 in F minor","GEORGE FRIDERIC HANDEL
1-4 Suite No. 5 in E major
HWV 430

5

Sarabande in B flat major
HWV 440/3

6

Minuet in G minor
arr. Wilhelm Kempff","JOHANNES BRAHMS (1833-1897)
1-19 Handel Variations
in B flat major op. 24
Aria - Variation XVIII","JOHANNES BRAHMS
1-8 Handel Variations
in B flat major op. 24
Variation XIX - Fuga",,,,,,,,,,,,,,,,
,"SEONG - JIN CHO

THE WANDERER

SCHUBERT . BERG . LISZT",,국내/클래식,2020,EU,,조성진,"FRANZ SCHUBERT (1797-1828)

""Wanderer"" Fantasy in C major D 760
»Wandererfantasie« C-Dur

Allegro con fuoco ma non troppo
F Adagio-
a Presto-
B Allegro","ALBAN BERG (1885-1935)
Piano Sonata op. 1

11:38

Mäßig bewegt","FRANZ LISZT (1811-1886)

Piano Sonata in B minor S 178
Klaviersonate h-Moll",,,,,,,,,,,,,,,,,
,"Chopin: Piano Concerto No. 1 · Ballades

SEONG-JIN CHO

London Symphony Orchestra . Gianandrea Noseda",,국내/클래식,2017,EU,,조성진,"Concerto for Piano and Orchestra
No.1 in E minor op. 11
e-Moll · en mi mineur
L. Allegro maestoso","2. Romance. Larghetto

10:35

3. Rondo. Vivace","Ballade No. 1 in G minor op. 23
g-Moll · en sol mineur
Largo - Moderato
Ballade No. 2 in F major op. 38
F-Dur · en fa majeur
Andantino","Ballade No.3 in A flat major op. 47
As-Dur · en la bémol majeur
Allegretto
Ballade No. 4 in F minor op. 52
f-Moll · en fa mineur

Andantino

Andante con moto",,,,,,,,,,,,,,,,
,"Matthias Goerne · Seong-Jin Cho
IM ABENDROT

AT SUNSET
WAGNER · PFITZNER · STRAUSS",,국내/클래식,2021,EU,,조성진,"1. Der Engel

2:4

2. Stehe still!
3 3. Im Treibhaus
4. Schmerzen
5. Träume","Sehnsucht op. 10/
Detlev von Liliencron
2 Wasserfahrt op. 6/6
Heinrich Heine

Joseph von Eichendorff

Ø Es glänzt so schön die sinkende Sonne op. 4/1

2:56

Heinrich Heine

Matthias Goerne baritone

4 Ist der Himmel darum im Lenz so blau op. 2/2
Richard Leander (= Richard von Volkmann)","An die Mark op. 15/3
Ilse von Stach

world of shadows, sensibility, quietude, sweet sorrow - never more

Abendrot op. 24/4
Friedrich Lienhard

erworldly"" (Opera Today reviewing the artists' 2018 Wig-

3 Nachts op. 26/2
Joseph von Eichendorff
4 Stimme der Sehnsucht op. 19/1
Carl Busse","RICHARD STRAUSS (1864-1949)
1 Traum durch die Dämmerung op. 29/1
Otto Julius Bierbaum
2 Morgen! op. 27/4
John Henry Mackay
3 Ruhe, meine Seele! ep. 27/1
Karl Friedrich Henckell

HANS PFITZNER (1869-1949)

4 Freundliche Vision op. 48/1
Otto Julius Bierbaum

Detlev von Liliencron

5 Im Abendrot
No. 4 from Vier letzte Lieder . Four Last Songs
Joseph von Eichendorff",,,,,,,,,,,,,,,,
,"KYUNG-WHA CHUNG
London Symphony Orchestra
ANDRE PREVIN",,국내/클래식,,,,정경화,"SIBELIUS: VIOLIN CONCERTO in D minor, OP. 47

SXL-6493

1. Allegro moderato
2. Adagio di molto
3. Allegro, ma non tanto","TCHAIKOVSKY: VIOLIN CONCERTO in D major, OP. 35
1. Allegro moderato
2. Canzonetta (Andante)
3. FINALE: Allegro vivacissimo",,,,,,,,,,,,,,,,,,
,"Kyung-Wha Chung

Saint-Saëns
Violin Concerto No.3",,국내/클래식,1977,,,정경화,"サン·サーンス:

SAINT-SAENS:

ヴァイオリン協奏曲 第3番
口短調,
作品61
VIOLIN CONCERTO No.3 IN B MINOR, Op.61","ヴュータン:

VIEUXTEMPS

ヴァイオリン協奏曲 第5番
イ短調.
作品37
VIOLIN CONCERTO No.5 IN A MINOR,Op.37
(19:15)
キョンファ·チョン(ヴァイオリン)
(鄭 京和〕KYUNG-WHA CHUNG(violin)
ロンドン交響楽団/指揮:ローレンス·フォスター
MPHONY ORG",,,,,,,,,,,,,,,,,,
,"BEETHOVEN
VIOLIN CONCERTO
KYUNG-WHA CHUNG",,국내/클래식,1979,EU,,정경화,I. Allegro ma non troppo,II. Larghetto III Rondo,,,,,,,,,,,,,,,,,,
,"Kyung Wha
Chung

Con amore",,국내/클래식,,EU,,정경화,"Side 1 . Face 1 .S

카프리스 · A단조 : 비에냐프스키

ge.Face 1 . Seite 1 (28.39)
Fritz Kreisler (1875-1962)
. La Gitana (2.55)
2. Liebesleid (3.28)
Ede Poldini (1869-1957)/Fritz Kreisler
3. Dancing Doll (2.
Henri Wieniawski (1835-1880
ed. Zino Fran
4. Scherzo-Tarantella, op.16 (4.36)
Edward Elgar (1857-1934)
5. Salut d'amour, op.12 (2.54)
6. La Capricieuse, op.17 (4.23)
Pyotr Ilyich Tchaikovsky (1840-1893)/
Michael Press

가보트 : 고세크

7. Valse sentimentale, op.51 no.6 (2.24)
Fritz Kreisler
8. Praeludium und Alle
(in the style of Gaetano Pugnani) (5.39)","Ottokar Nováček ((1866-1900)
ed. Josef Gingold
1. Moto per
. Moto perpetuo (2.57)
de Debussy (1862-1918)/
Jascha Heifetz
2. Beau soir (2.19)
Frédéric Chonin (1910 1
Nathan Milstein
. Nocturne in C sharp minor
t diese mineur . cis-moll (3.46)
Henri Wieniawski/Fritz Kreisler
. Caprice in A minor . la mineur . a-moll (
Francois-Joseph Gossec (1734-1829)/
JOSEPa MSEe
Fritz Meyer
5. Gavotte (2.43
Fritz Kreisler
6. Liebesfreud (3.11)
Cecile Chaminade (1857-1944)/
Fritz Kreisler
7. Serenade espagnole (2.3
Camille Saint-Saëns (1835-1921)
Eugène Ysaÿe
8. Caprice (after Etude en forme de valse
op.52 no.6) (8.16)
es Brahms (1833-1897)/
Joseph Joachim
9. Hungarian Dance No.1 (3.13)",,,,,,,,,,,,,,,,,,
,Franck: Sonata for Violin and Piano in A major,,국내/클래식,1980,EU,,정경화,"CESAR FRANCK: SONATA FOR VIOLIN & PIANO

AIR

. Allegretto ben moderato (5.57)
II. Allegro (8.13)
III. Recitativo-Fantasia (7.05)

180g

IV. Allegretto poco mosso (6.18)","DEBUSSY: SONATA FOR VIOLIN & PIANO

PRESSED IN GERMANY

I. Allegro vivo (4.43)
II. Intermède. Fantasque et léger (5.03)
III. Finale. Très animé (4.15)",,,,,,,,,,,,,,,,,,
,"Kyung Wha Chung

Orchestre symphonique de Montréal

Charles Dutoit",,국내/클래식,1982,EU,,정경화,"kv: Violin Concerto . Violinkonzert
Tchaikovsky: Violin (
D major · ré majeur · D-dur, Op.35
. 1 Allegro moderato (17.49)
II Canzonetta. Andante
III Finale. Allegro vivacissimo (16.36)","Mendelssohn: Violin Concerto · Violinkonzert
E minor . mi mineur e-moll, Op.64 (25.33)
Allegro molto appass
II Andante
III Allegretto non troppo. Allegro molto vivace",,,,,,,,,,,,,,,,,,
,KYUNG WHA CHUNG VIOLIN BACH,,국내/클래식,2016,,,정경화,"Sonata No.1 in G minor, BWV 1001
Adagic

Sonata No.3 in C, BWV 1005

Fuga

4.07
5.05

Siciliana

3.13

Presto

4.01","Partita No.1 in B minor, BWV 1002
Allemanda

6.43

Corrente

6.51

Sarabande

4.15

Tempo di Borea

6.32

6.49","Sonata No.2 in A minor, BWV 1003
Grave

4.24

Fuga

4.24
8.09

Andante

014

Allearo

5.08
5.39","Partita No.2 in D minor, BWV 1004
Allemanda

4.35

Corrente

2.40

Sarabanda
Giaa

4.00

Ciaccon

4.20","Sonata No.3 in C, BWV 1005
Adagio
Fuga

5.48
014

Largo

3.29

5.39

Allegro assai

5.29","Partita No.3 in E, BWV 1006
Freludlo

3.24
4.15

Gavotte en rondeau

2.57

Menuet I - Menuet II

2457

Bourree

.09
",,,,,,,,,,,,,,
,"Kyung Wha Chung
VIOLIN SONATA",,국내/클래식,1997,프랑스,,정경화,"I.
Vivace ma non troppo","II. Adagio
III. Allegro molto moderato","I. Allegro amabile
II. Andante tranquillo - Vivace
III. Allegretto grazioso (quasi andante)","I.
Allegro
II. Adagio
III. Un poco presto e con sentimento
IV. Presto agitato",,,,,,,,,,,,,,,,
,MUAK/ORCHESTBAL WORKS Isang Yun,,국내/클래식,1985,일본,,윤이상,"1.ムアーク(1978)〔18:11〕
~オーケストラのための幻想的舞曲
MUAK
Tänzerische Fantasie für grosses Orchester, 1978","2.ピース·コンチェルタンテ(1978)〔14:08〕
~2つのヴァイオリンのための
PIÈCE CONCERTANTE
für Kammer-Ensemble oder Kleines Orchester, 1978","3.ソナチナ(1983)〔14:20〕
SONATINA

fir 2 Vio
für 2 Violinen, 1983",,,,,,,,,,,,,,,,,
,ISANG YUN,,국내/클래식,2000,독일,,윤이상,,,,,,,,,,,,,,,,,,,,
,ISANG YUN 2KANTATEN,,국내/클래식,1977,독일,,윤이상,"DER WEISE MANN
AN DER SCHWELLE
PIRI",,,,,,,,,,,,,,,,,,,
,ISANG YUN I SELECTED WORKS FOR CLARINET,,국내/클래식,,일본,,윤이상,"クラリネット協奏曲(1981)
Concerto for Clarinet and Orchestra (1981)
エドゥアルド·ブルンナー(クラリネット)
Eduard Brunner, clarinet
パトリック·トーマス(指揮)
Patrick Thomas, conductor
バイエルン放送交響楽団
Symphonie-Orchester des Bayerischen Rundfunks","クラリネットとピアノのための“リウル”(1968)
""Riul"" for Clarinet and Piano (1968)
エドクアルド·ブルンナー(クラリネット)、

47500177

Eduard Brunner, clarinet
アロイス·コンタルスキー(ピアハ)
Aloys Kontarsky, piano
“ピリ”(1971)
""Piri"" (197))

ポンティの手にかがる使

エ ド ゥ ア ル ド · ブ ル ン ナ ー
Eduard Brunner, clarinet",,,,,,,,,,,,,,,,,,
,"Isang Yun
Konzertante Figuren
für Kleines Orchester",,국내/클래식,1972,일본,,윤이상,,,,,,,,,,,,,,,,,,,,
,"COMPOSITIONS OF ISANG YUN-4

DOUBLE CONCERTO

for Oboe, Harp and Small Orchestra",,국내/클래식,,일본,,윤이상,"オ ー ボ エ と ハ ー プ の た め の
二重協奏曲

DOUBLE CONCERTO
oboe, harp and small orchestra
ハインツ·ホリガー(オーボエ)
Heinz Holliger, oboe
ウルスラ·ホリガー(ハープ)
Ursula Holliger, harp
デニス·ラッセル·デイヴィス指揮
Dennis Russel Davies, conductor
ザールブリュッケン放送交響楽団
RUNDFUNK-SINFONIEORCHESTER, SAARBRUCKEN","イ マ ー ジ ュ

~フルート、オーボエ、ヴァイオリンとチェロのための
""IMAGES""

ピース·コンチェルタンテ

for Flute, Oboe, Violin and Violoncello
オーレル·ニコレ(フルート)

~2つのヴァイオリンのための

Aurele Nicolet, flute

ハンス·シェンダー(指揮)

ハインツ·ホリガー(オーボエ)

ザールブリュッケン放送恋響楽用

Heinz Holliger, oboe
ハンスハインツ·シュネーベルガー(ヴァイオリン)
Hansheinz, Schneeberger, violin
トーマス·デメンガ(チェロ)
Thomas Demenga, violoncello",,,,,,,,,,,,,,,,,,
,ISANG YUN Loyang,,국내/클래식,1967,독일,,윤이상,,,,,,,,,,,,,,,,,,,,
